Time Stamp,Name,PTID,LBMP ($/MWHr),Marginal Cost Losses ($/MWHr),Marginal Cost Congestion ($/MWHr)
05/10/2026 14:00,HUD VL,61758,30.69,1.52,-8.65
05/10/2026 14:00,LONGIL,61762,34.20,2.32,-11.36
05/10/2026 14:00,MHK VL,61756,22.98,0.33,-2.13
05/10/2026 14:00,MILLWD,61759,31.01,1.74,-8.75
05/10/2026 14:00,N.Y.C.,61761,31.26,2.05,-8.69
05/10/2026 14:00,NORTH,61755,20.25,-0.27,0.00
05/10/2026 14:00,NPX,61845,33.30,1.15,-11.63
05/10/2026 14:00,O H,61846,19.00,-2.11,-0.59
05/10/2026 14:00,PJM,61847,25.54,0.10,-4.91
05/10/2026 14:00,WEST,61752,19.02,-2.09,-0.59
05/10/2026 15:00,CAPITL,61757,33.07,0.65,-11.32
05/10/2026 15:00,CENTRL,61754,21.88,-0.48,-1.26
05/10/2026 15:00,DUNWOD,61760,32.80,1.92,-9.78
05/10/2026 15:00,GENESE,61753,20.43,-1.37,-0.70
05/10/2026 15:00,H Q,61844,21.03,-0.06,0.00
05/10/2026 15:00,HUD VL,61758,32.35,1.52,-9.74
05/10/2026 15:00,LONGIL,61762,33.19,2.30,-9.80
05/10/2026 15:00,MHK VL,61756,23.75,0.25,-2.39
05/10/2026 15:00,MILLWD,61759,32.68,1.73,-9.85
05/10/2026 15:00,N.Y.C.,61761,32.86,1.98,-9.78
05/10/2026 15:00,NORTH,61755,20.89,-0.21,0.00
05/10/2026 15:00,NPX,61845,35.20,1.16,-12.94
05/10/2026 15:00,O H,61846,19.70,-2.07,-0.67
05/10/2026 15:00,PJM,61847,26.63,0.00,-5.53
05/10/2026 15:00,WEST,61752,19.57,-2.19,-0.67
05/10/2026 16:00,CAPITL,61757,36.65,0.81,-11.13
05/10/2026 16:00,CENTRL,61754,25.43,-0.52,-1.24
05/10/2026 16:00,DUNWOD,61760,36.52,2.20,-9.62
05/10/2026 16:00,GENESE,61753,23.57,-1.83,-0.69
05/10/2026 16:00,H Q,61844,25.02,-0.07,-0.38
05/10/2026 16:00,HUD VL,61758,36.01,1.73,-9.57
05/10/2026 16:00,LONGIL,61762,45.92,2.59,-18.62
05/10/2026 16:00,MHK VL,61756,27.46,0.39,-2.35
05/10/2026 16:00,MILLWD,61759,36.34,1.95,-9.68
